id;nombre;codigo;detalle;habilitado
1;zen trivialise wherever;iridescence use likewise;seller zowie hm;false
2;into gripping the;furthermore waffle yield;lighthearted yahoo;false
3;whenever times;as gunpowder;gracefully ack realization;true
4;furthermore castle irrigation;lop ancestor brr;normalise whenever;true
5;seriously overconfidently;who incidentally;while openly stiffen;true
6;undercook disappointment however;awkwardly extradite surge;still failing optimistically;true
7;brr before um;for gee;vest;true
8;far-flung;sink deduct;banjo immediately versus;false
9;secularise;acidly;against;false
10;mechanically;fooey bake lively;aw marriage gossip;false
