id;nombre;codigo;detalle;catalog_code;habilitado
1;inasmuch;potentially;behind abaft beneath;by unnecessarily exasperate;false
2;fat;whoa;hm;zany derive ultimately;true
3;rapidly extremely enraged;society why which;so of;boogie;true
4;vacuum brr barren;damp how an;allow adjudicate;hm bereave;false
5;ischemia orchid;inflammation;till as knight;instead commonly playfully;false
6;commonly;quicker anti sorghum;tachometer throughout thorny;phew;true
7;operation from whoever;toward reassuringly;frail ouch germinate;a uh-huh confused;true
8;sweetly as;idolized;dirty;recreation sweetly junior;false
9;unless respectful;sometimes;artistic wherever vanquish;chorus incidentally which;false
10;because normal;bobcat impartial apprehensive;induce;excitedly medal beside;true
